15,34,0,2.464,0.21,12.43s
15,36,0,0.165,6.10E-08,5.6s
15,36,0,0.221,2.10E-08,5.6s
15,36,0,0.221,3.30E-08,5.6s
15,36,0,2.243,1.30E-11,5.6s
15,36,0,2.307,0.00025,5.6s
15,36,0,2.308,0.0005,5.6s
15,36,0,2.464,1.20E-05,5.6s
15,36,0,2.464,2.30E-05,5.6s
15,38,0,0.165,1.20E-08,0.64s
15,38,0,0.221,4.20E-09,0.64s
15,38,0,0.221,6.60E-09,0.64s
15,38,0,2.307,6.20E-05,0.64s
15,38,0,2.308,1.24E-04,0.64s
15,38,0,2.464,2.90E-06,0.64s
15,38,0,2.464,5.70E-06,0.64s
16,29,0,0.136,1.30E-07,0.187s
16,29,0,0.179,2.00E-08,0.187s
16,29,0,0.179,3.10E-08,0.187s
16,29,0,1.956,1.01E-11,0.187s
16,29,0,2.009,0.0003,0.187s
16,29,0,2.01,0.00059,0.187s
16,29,0,2.136,1.79E-05,0.187s
16,29,0,2.136,9.10E-06,0.187s
16,30,0,0.136,5.70E-07,1.178s
16,30,0,0.179,1.40E-07,1.178s
16,30,0,0.179,9.00E-08,1.178s
16,30,0,1.956,4.30E-11,1.178s
16,30,0,2.009,0.00128,1.178s
16,30,0,2.01,0.0025,1.178s
16,30,0,2.136,3.90E-05,1.178s
16,30,0,2.136,7.70E-05,1.178s
16,31,0,0.136,6.10E-07,2.572s
16,31,0,0.179,1.50E-07,2.572s
16,31,0,0.179,9.00E-08,2.572s
16,31,0,1.956,4.60E-11,2.572s
16,31,0,2.009,0.00134,2.572s
16,31,0,2.01,0.0027,2.572s
16,31,0,2.136,4.10E-05,2.572s
16,31,0,2.136,8.10E-05,2.572s
16,37,0,0.202,2.30E-11,5.05m
16,37,0,0.263,1.40E-11,5.05m
16,37,0,0.263,2.20E-11,5.05m
16,37,0,2.621,1.91E-05,5.05m
16,37,0,2.622,3.80E-05,5.05m
16,37,0,2.816,1.20E-06,5.05m
16,37,0,2.816,2.37E-06,5.05m
16,39,0,0.202,7.90E-08,11.5s
16,39,0,0.263,4.70E-08,11.5s
16,39,0,0.263,8.00E-08,11.5s
16,39,0,2.552,2.90E-11,11.5s
16,39,0,2.621,0.0004,11.5s
16,39,0,2.622,0.0008,11.5s
16,39,0,2.816,2.50E-05,11.5s
16,39,0,2.816,5.00E-05,11.5s
17,32,0,0.165,1.20E-07,0.298s
17,32,0,0.221,4.10E-08,0.298s
17,32,0,0.221,6.50E-08,0.298s
17,32,0,2.243,2.14E-11,0.298s
17,32,0,2.307,0.0004,0.298s
17,32,0,2.308,0.0008,0.298s
17,32,0,2.464,1.87E-05,0.298s
17,32,0,2.464,3.70E-05,0.298s
17,33,0,0.165,6.10E-07,2.511s
17,33,0,0.221,2.10E-07,2.511s
17,33,0,0.221,3.30E-07,2.511s
17,33,0,2.243,1.03E-10,2.511s
17,33,0,2.307,0.00192,2.511s
